country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","24-08-2026 11:00:00",34.066206,74.81982,NH3,9,9,9
India,"Jammu and Kashmir",Srinagar,"Khunmoh, Srinagar - JKPCC","24-08-2026 11:00:00",34.06313,74.96017,PM10,30,89,57
India,"Jammu and Kashmir",Srinagar,"Khunmoh, Srinagar - JKPCC","24-08-2026 11:00:00",34.06313,74.96017,NH3,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","24-08-2026 11:00:00",23.80569,86.44268,PM2.5,1,295,53
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","24-08-2026 11:00:00",23.80569,86.44268,NO2,96,205,104
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","24-08-2026 11:00:00",23.80569,86.44268,OZONE,16,51,23
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","24-08-2026 11:00:00",23.707909,86.41467,PM2.5,57,65,60
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","24-08-2026 11:00:00",23.707909,86.41467,OZONE,5,63,26
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","24-08-2026 11:00:00",17.336318,76.847397,PM10,NA,NA,NA
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","24-08-2026 11:00:00",17.336318,76.847397,OZONE,13,15,14
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","24-08-2026 11:00:00",14.816666,74.141003,PM10,1,45,24
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","24-08-2026 11:00:00",12.415911,75.73505,PM2.5,2,15,8
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","24-08-2026 11:00:00",12.415911,75.73505,NO2,2,2,2
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","24-08-2026 11:00:00",12.415911,75.73505,SO2,7,7,7
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","24-08-2026 11:00:00",12.415911,75.73505,CO,7,22,12
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","24-08-2026 11:00:00",12.415911,75.73505,OZONE,1,5,2
